TITLE,SP,EFFORT IN HOURS,STORY IS SPIKE(yes/no),STORY REQUIRES NEW TECH(yes/no),STORY IS FOR A NEW NEW FUNCTIONALITY(yes/no),USER STORY IS BAD ESTIMATED FOR THE TEAM(yes/no)
Create helm chart and deploy the Rewards,2,50,0,0,1,1
Restyle of user interface,5,57,1,1,0,1
Create a reward,3,25,0,0,1,1
View list of rewards,3,8,0,0,0,0
Modify a reward,3,10,0,0,0,0
Delete a reward,2,3,0,0,0,0
Filter functionalities by role,5,8,0,0,0,1
Request for activity grains,5,47,0,0,1,1
See points,1,5,0,0,1,0
Accept or deny Request for Alten grains,3,44,0,0,0,1
Cancel Request (activities and rewards),3,18,0,0,0,1
Request for a reward,2,5,0,0,0,0
See pending requests for rewards and activities,5,18,0,0,0,0
Learn react query (and apply to the project),5,34,1,0,0,1
Review and update of C4 model and functional diagrams,5,19,0,0,0,0
Check history of the grains,1,2,0,0,0,0
Give Alten Grains,8,18,0,0,0,1
Send Notification,5,28,1,1,1,1
Filters for the view of pending requests,3,3,0,0,0,1
Print notification,5,30,0,1,0,1
Show title of a page in the navbar,2,1,0,0,0,0
Give feedback when a user performs an action,3,15,0,1,1,1
Add grains info in reward and activities page,1,3,0,0,0,0
Event date in request for arcitivities,2,21,0,0,0,1
Validation popup for actions,2,14,0,0,0,1
Possibility to delete a tenant,3,11,0,0,1,0
Search for widgets,8,30,1,0,1,0
Add a widget to the dashboard,8,33,0,1,0,0
Delete widgets,3,13,0,0,0,0
Save widget position,8,26,0,0,0,0
Suggest activity,3,10,0,0,1,0
Better profile,2,9,0,0,0,0
User Friendly Button,1,1,0,0,0,0
Better visual Consultant page,2,11,0,0,0,0
Add integration test,2,7,0,1,0,0
Add CMC role,1,2,0,0,0,0
Clear notifications,8,25,0,1,0,0
Search user,1,4,0,0,0,0
See an entity profile,2,8,0,0,0,0
Send notification automatically,2,3,0,0,0,0
Widget navigation,2,9,0,0,0,0
Lighten the list by pagination,2,19,0,0,0,1
Default widget for user,2,10,0,0,0,0
Improve widget layout,3,17,0,0,0,0
Move checkbox in widget,1,1,0,0,0,0
Resize icon,1,1,0,0,0,0
Add the number of the selected Consultant,1,1,0,0,0,0
Add statistics about Consultant grains,5,31,0,0,0,1
Show the entire name in widgets,1,4,0,0,0,0
Assign admin role,2,7,0,0,0,0
Research Consultant in its page,1,10,0,0,0,1
Count tenants,3,17,0,0,1,0
Tenant requests implementation,8,30,0,0,0,0
